dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal
xs,gemma,selfdefend,2.06,101.33,38.27,398.08,100.00,0.00
xs,gemma,intentionanalysi,12.81,344.62,237.61,2479.96,56.89,43.11
xs,mistral,Self-Reminder,5.87,63.31,206.40,1243.12,95.11,4.89
xs,deepseek,base,11.01,18.63,203.46,1037.87,61.33,38.67
oa,deepseek,Self-Reminder,23.29,85.92,420.34,1966.10,96.06,3.94
oa,mistral,ICD,8.67,87.09,307.12,1795.29,98.03,1.97
oa,mistral,selfParaphrase,18.39,342.47,650.19,3848.30,96.06,3.94
oa,gemma,Retokenization,18.66,91.07,308.43,3621.37,96.46,3.54
oa,phi,selfParaphrase,20.56,127.44,591.31,2400.03,95.67,4.33
oa,qwen,selfdefend,0.75,130.42,33.14,182.43,99.21,0.79
xs,qwen,prioritygoal,4.51,775.27,206.29,1215.11,65.78,34.22
oa,mistral,Self-Reminder,9.24,88.18,327.43,1915.91,96.46,3.54
xs,deepseek,Self-Exam,13.55,258.06,247.25,1214.66,59.11,40.89
oa,phi,smoothllm,114.17,230.68,3300.58,13745.16,98.03,1.97
xs,mistral,base,7.19,15.30,253.38,1515.78,95.56,4.44
xs,phi,intentionanalysi,58.94,1127.70,1779.98,9187.47,15.11,84.89
oa,gemma,intentionanalysi,21.92,438.87,357.32,4326.80,94.88,5.12
oa,phi,base,18.80,38.05,547.94,2366.53,98.03,1.97
oa,phi,Retokenization,9.39,88.16,270.24,1062.82,100.00,0.00
xs,llama3,selfParaphrase,7.29,124.33,290.25,1675.78,99.11,0.89
oa,mistral,selfdefend,1.95,129.18,68.81,399.10,93.31,6.69
xs,llama3,base,5.63,46.25,225.82,1280.41,100.00,0.00
xs,deepseek,intentionanalysi,8.16,300.04,147.59,760.74,48.22,51.78
oa,gemma,ICD,17.55,89.33,289.98,3476.00,96.06,3.94
xs,mistral,smoothllm,43.94,94.40,1543.11,9188.54,95.56,4.44
